ID,SrNo,Timestamp,X_Acc,Y_Acc,Z_Acc,X_Gyro,Y_Gyro,Z_Gyro
Abj,1518,1739354608811,0.78574,-0.62393,11.56691,8.94902,-6.0423,12.77123
Abj,1519,1739354608828,0.78574,-0.62393,11.56691,12.30585,-2.5634,13.19846
Abj,1520,1739354608845,1.08515,-2.94048,10.70908,14.25892,-0.12207,10.08576
Abj,1521,1739354608864,1.04207,-1.85055,9.44686,7.91145,2.7465,9.10923
Abj,1522,1739354608879,1.52333,1.70219,10.41685,-0.25939,1.15963,11.48953
Abj,1523,1739354608897,1.15454,-1.51256,7.97348,9.19315,18.24134,10.39093
Abj,1524,1739354608913,0.91735,-3.39302,9.05384,7.17905,15.00658,10.02473
Abj,1525,1739354608937,1.48505,-2.74397,11.10449,6.14911,16.10518,11.18436
Abj,1526,1739354608953,1.00379,-2.32702,10.82184,4.98948,1.95307,9.47543
Abj,1527,1739354608969,1.00379,-2.32702,10.82184,2.36504,9.8874,8.98716
Abj,1528,1739354608984,0.5988,-1.10788,8.8334,7.24008,14.03767,9.04819
Abj,1529,1739354608993,0.34247,-1.25145,8.09342,2.36504,16.41034,6.91203
Abj,1530,1739354609013,1.42523,-2.10419,10.53679,2.67021,-2.31927,8.682
Abj,1531,1739354609030,1.42523,-2.10419,10.53679,3.95191,2.1972,7.58339
Abj,1532,1739354609046,0.67537,-3.73819,10.14856,5.53878,-1.34273,7.46133
Abj,1533,1739354609062,1.18564,-2.22891,9.96431,6.14911,-7.20194,8.682
Abj,1534,1739354609079,0.77139,-0.54497,10.40489,-0.25939,-4.15027,4.89793
Abj,1535,1739354609097,0.31376,0.70558,10.90798,-7.64443,-3.1127,6.48479
Abj,1536,1739354609121,1.02054,-2.93569,9.62154,0.90024,4.15027,4.53173
Abj,1537,1739354609137,0.52941,-4.52632,7.92323,11.02415,6.28644,3.73829
Abj,1538,1739354609153,0.52941,-4.52632,7.92323,3.09744,2.07513,5.63033
Abj,1539,1739354609165,1.24786,-0.29342,10.29482,-0.99179,12.02357,5.87446
Abj,1540,1739354609181,1.31755,0.10439,10.82423,-6.48479,-2.25823,6.42376
Abj,1541,1739354609194,0.48156,-3.72383,9.01316,-1.84626,-6.34747,6.05756
Abj,1542,1739354609213,0.79292,-2.20738,9.12353,-0.68663,-7.93434,4.10449
Abj,1543,1739354609230,0.79292,-2.20738,9.12353,-0.19836,-11.41324,5.26413
Abj,1544,1739354609246,0.32333,-2.66022,8.5005,1.69368,-7.93434,5.08103
Abj,1545,1739354609263,1.88764,-3.10558,10.02413,0.71714,-13.54941,6.17963
Abj,1546,1739354609281,1.26461,-1.83589,10.25893,0.77818,-13.06114,6.72893
Abj,1547,1739354609303,-0.19172,-0.13759,9.29821,-3.43313,-14.46491,7.76649
Abj,1548,1739354609323,1.62413,-1.34985,10.65165,-7.70546,-19.16447,7.21719
Abj,1549,1739354609338,0.43101,-4.67229,7.45364,2.48711,-15.74661,12.58813
Abj,1550,1739354609352,0.43101,-4.67229,7.45364,10.47485,12.87804,8.62096
Abj,1551,1739354609373,1.44197,-2.17388,10.12463,-0.80869,-8.48364,8.92613
Abj,1552,1739354609385,1.18564,-1.56281,11.69133,1.99884,-4.69957,9.53646
Abj,1553,1739354609394,0.08853,-2.77508,9.2025,2.05988,-5.8592,9.65853
Abj,1554,1739354609414,0.71845,-2.9333,8.14607,7.24008,-5.61507,8.07166
Abj,1555,1739354609431,0.71845,-2.9333,8.14607,2.54814,-10.4367,9.84163
Abj,1556,1739354609447,1.71745,-1.03101,10.4025,-3.55519,-12.02357,10.63506
Abj,1557,1739354609465,0.89342,-2.14517,10.54876,-4.04346,-4.45543,11.91676
Abj,1558,1739354609481,0.62512,-0.25753,9.34846,-3.55519,-6.2254,11.91676
Abj,1559,1739354609506,0.37837,-2.20738,8.52204,-0.38146,5.6761,11.91676
Abj,1560,1739354609524,1.24068,-5.10838,9.58565,-3.37209,-5.18784,14.175
Abj,1561,1739354609539,1.46112,-5.75025,10.11745,2.12091,-11.9015,16.3722
Abj,1562,1739354609555,1.46112,-5.75025,10.11745,11.81758,-4.5775,15.57876
Abj,1563,1739354609569,1.55234,-3.01466,9.58565,10.04762,-3.90613,14.60223
Abj,1564,1739354609580,0.25155,0.56889,10.37139,0.96128,-20.01894,14.48016
Abj,1565,1739354609594,0.5653,-1.4336,8.70658,3.15848,-7.324,14.7243
Abj,1566,1739354609615,1.67438,-0.75314,10.82423,-4.89793,-12.4508,18.3863
Abj,1567,1739354609631,1.67438,-0.75314,10.82423,-2.82279,-4.3944,18.9356
Abj,1568,1739354609647,1.30798,-3.46032,10.62054,4.31811,-4.51647,20.5835
Abj,1569,1739354609665,0.6323,-4.50688,8.78315,14.80822,10.37567,18.99663
Abj,1570,1739354609682,1.02054,-0.49681,10.78355,-0.01526,-8.0564,21.56003
Abj,1571,1739354609699,0.8001,-1.64925,10.5009,3.03641,3.05167,21.1328
Abj,1572,1739354609724,1.00379,-3.54886,9.74627,6.81285,1.22067,20.64453
Abj,1573,1739354609741,0.89342,-2.29113,9.22164,13.77065,5.1268,20.46143
Abj,1574,1739354609757,0.73519,-0.17587,9.03709,13.40445,10.6198,21.07177
Abj,1575,1739354609771,0.73519,-0.17587,9.03709,7.72835,12.87804,21.07177
Abj,1576,1739354609783,1.05643,0.05892,10.36421,3.58571,5.37094,22.4145
Abj,1577,1739354609796,-0.10558,-3.88894,9.08016,7.17905,4.82164,20.82763
Abj,1578,1739354609814,1.6337,-3.75733,10.32114,4.74534,-0.61033,19.79007
Abj,1579,1739354609831,1.6337,-3.75733,10.32114,7.11801,-1.15963,19.97317
Abj,1580,1739354609848,0.58445,-2.06351,10.6349,11.51242,-1.58687,19.8511
Abj,1581,1739354609865,0.98913,-2.56182,9.5689,13.83169,5.8592,17.1046
Abj,1582,1739354609882,0.41665,-0.75553,10.34986,10.78002,1.03757,17.34873
Abj,1583,1739354609898,0.67059,-1.48385,10.436,12.42792,1.4648,16.98253
Abj,1584,1739354609921,1.31516,-1.2993,9.68405,14.13685,9.58224,15.51773
Abj,1585,1739354609942,0.67537,-2.18824,10.18954,8.21662,3.35683,15.15153
Abj,1586,1739354609958,1.0325,-1.18923,10.07438,10.47485,8.36157,15.70083
Abj,1587,1739354609973,1.0325,-1.18923,10.07438,6.02704,10.4367,13.8088
Abj,1588,1739354609984,0.38794,-0.80608,9.49233,6.21014,10.4367,13.0764
Abj,1589,1739354609998,0.92213,-1.06959,9.86591,1.93781,9.46017,12.7102
Abj,1590,1739354610013,0.92213,-1.06959,9.86591,6.21014,7.56814,12.64916
Abj,1591,1739354610032,1.11864,-3.92483,8.90549,8.39972,3.90613,12.28296
Abj,1592,1739354610048,0.8671,-2.78704,8.7999,6.21014,5.37094,13.4426
Abj,1593,1739354610065,1.59302,1.40519,10.66122,-8.80406,-7.56814,12.5271
Abj,1594,1739354610083,-0.52702,-0.53539,9.62633,-8.55993,-0.24413,11.85573
Abj,1595,1739354610099,1.13539,-3.64218,9.19053,-5.20309,5.00474,11.12333
Abj,1596,1739354610115,1.01336,-2.41346,11.0016,-7.27823,-7.75124,12.8933
Abj,1597,1739354610132,1.01336,-2.41346,11.0016,-3.00589,2.50237,9.90266
Abj,1598,1739354610156,0.95803,-1.52453,10.54637,-0.62559,9.76534,9.10923
Abj,1599,1739354610174,0.37837,-1.6014,10.14138,-8.55993,-8.9719,9.9637
Abj,1600,1739354610187,0.51984,-1.92473,10.09831,-0.13733,-6.16437,9.2313
