ID,SrNo,Timestamp,X_Acc,Y_Acc,Z_Acc,X_Gyro,Y_Gyro,Z_Gyro
Ak,1405,1739354861582,-0.4651,0.35683,9.22343,22.7807,-3.81077,17.1046
Ak,1406,1739354861600,-0.37657,-4.21107,6.31615,20.06853,-3.44838,14.51831
Ak,1407,1739354861616,-0.73549,-1.16979,15.71995,-0.27084,-8.67055,-4.01676
Ak,1408,1739354861633,-0.5656,-2.58634,7.29721,-4.40966,-9.16263,-9.31522
Ak,1409,1739354861650,-0.5656,-2.58634,7.29721,-18.47022,-2.45659,-18.00484
Ak,1410,1739354861668,2.13829,-1.78953,9.32633,-63.63491,-3.69252,-45.6911
Ak,1411,1739354861679,-1.06092,2.21366,12.27189,-51.29853,-6.34747,-40.12562
Ak,1412,1739354861695,-0.3,0.21805,9.39332,18.01628,-6.39706,1.65172
Ak,1413,1739354861715,0.15942,-4.69442,10.63041,14.77389,-4.75297,1.56779
Ak,1414,1739354861731,-0.36939,-3.4669,7.16321,18.5694,0.42342,6.72893
Ak,1415,1739354861746,-0.36939,-3.4669,7.16321,-8.47982,14.11778,-1.4114
Ak,1416,1739354861765,0.82223,-2.91177,11.69522,-28.36144,14.61749,-8.32342
Ak,1417,1739354861782,-1.12792,0.80189,7.69681,3.95954,-5.44341,4.72627
Ak,1418,1739354861799,1.06391,0.21326,12.08764,12.53473,6.66026,17.22285
Ak,1419,1739354861813,-1.57298,0.02901,6.92393,10.75713,5.71043,15.7199
Ak,1420,1739354861833,0.6667,-2.64856,9.4675,7.56432,4.66905,11.91295
Ak,1421,1739354861850,0.6667,-2.64856,9.4675,-4.49358,6.93492,3.55901
Ak,1422,1739354861869,-0.48903,0.05773,9.74746,28.02957,1.0719,20.48432
Ak,1423,1739354861883,0.23838,-2.18435,11.97279,47.13301,-1.48387,30.52812
Ak,1424,1739354861901,-0.40768,-4.93849,8.6013,36.23474,-0.3128,18.74106
Ak,1425,1739354861916,-0.62064,0.09123,10.79791,-22.90277,1.60975,-21.95675
Ak,1426,1739354861931,-1.20449,-1.59811,10.14946,-20.78567,2.67784,-20.72845
Ak,1427,1739354861950,0.37717,-4.81406,10.72134,-24.19591,2.37267,-22.31151
Ak,1428,1739354861967,0.37717,-4.81406,10.72134,-21.29683,1.52965,-19.80532
Ak,1429,1739354861977,1.14287,3.20907,10.13031,-30.44039,7.47277,-22.45264
Ak,1430,1739354861996,-0.9676,-0.7008,8.6683,-20.75134,5.19546,-14.26655
Ak,1431,1739354862011,-0.02243,0.15344,10.97019,-8.20136,4.91319,-4.05872
Ak,1432,1739354862029,-0.34546,-1.47847,7.29482,44.49332,-4.98185,30.1047
Ak,1433,1739354862050,1.966,-3.75165,12.18814,31.48558,-2.33453,23.79538
Ak,1434,1739354862065,1.966,-3.75165,12.18814,25.29833,-1.6479,19.29035
Ak,1435,1739354862083,0.11157,-2.05992,8.22084,-9.34573,-2.27731,-4.6042
Ak,1436,1739354862099,-1.53709,-4.50778,8.53669,-7.07605,-1.92255,-3.662
Ak,1437,1739354862121,0.45135,3.25215,14.19093,-54.72403,7.26297,-32.37438
Ak,1438,1739354862134,1.00648,-2.00728,9.30958,-32.44304,-0.14495,-23.02102
Ak,1439,1739354862148,0.77198,0.93829,8.50798,-22.10933,6.36654,-15.13246
Ak,1440,1739354862167,0.77198,0.93829,8.50798,-20.07235,5.93168,-14.45728
Ak,1441,1739354862182,-0.7331,-2.49781,10.78595,-15.29267,3.88706,-12.66061
Ak,1442,1739354862201,-1.28345,-0.34427,8.29741,33.16782,-7.46133,16.06322
Ak,1443,1739354862216,0.32692,-2.7658,10.92234,33.78959,-2.12472,19.13014
Ak,1444,1739354862232,-0.5345,-2.08146,6.73011,34.67458,-6.06519,18.14598
Ak,1445,1739354862249,-0.5345,-2.08146,6.73011,19.95791,-7.90382,6.3551
Ak,1446,1739354862266,-1.69502,-2.48584,8.94347,-24.74903,9.07108,-17.99339
Ak,1447,1739354862281,-1.0681,0.23958,12.26232,-18.60373,4.86741,-15.8763
Ak,1448,1739354862296,-0.35504,-3.6009,8.30459,-11.99687,10.12391,-7.13327
Ak,1449,1739354862313,-1.01306,-0.67687,12.04696,-12.13801,7.6635,-5.32135
Ak,1450,1739354862332,-0.48185,-0.57398,10.93909,-11.95491,6.81666,-4.58895
Ak,1451,1739354862352,-0.48185,-0.57398,10.93909,-6.02323,5.38619,-1.55254
Ak,1452,1739354862366,1.00648,-3.3329,8.25195,-0.66374,4.26089,0.32805
Ak,1453,1739354862381,-1.35523,0.89043,11.61865,4.10449,2.65114,2.66639
Ak,1454,1739354862400,1.67408,-5.51037,10.57299,20.25545,-0.41198,10.55496
Ak,1455,1739354862415,-2.49661,-2.99551,8.25434,-9.29233,-2.76176,-17.78359
Ak,1456,1739354862435,-1.69741,0.43819,11.03241,-5.596,0.69807,-16.19673
Ak,1457,1739354862449,1.05434,-0.82762,7.83081,-3.35302,3.47127,-13.51889
Ak,1458,1739354862467,1.05434,-0.82762,7.83081,3.04022,5.17258,-7.64061
Ak,1459,1739354862479,2.31057,-1.95703,10.72373,3.36828,7.53762,-5.6761
Ak,1460,1739354862498,-0.78096,-1.31097,8.17777,18.08876,4.68431,5.27939
Ak,1461,1739354862515,-2.97757,-3.86172,10.65195,6.95399,2.11709,-3.28054
Ak,1462,1739354862531,-1.91755,-5.13948,10.56102,4.95133,4.50502,-2.84568
Ak,1463,1739354862547,-1.91755,-5.13948,10.56102,0.90787,5.38238,-3.662
Ak,1464,1739354862564,-0.45793,0.2994,9.64696,-29.33797,15.73898,-20.58731
Ak,1465,1739354862579,-0.80728,0.37358,11.69761,-24.0357,11.27973,-18.66476
Ak,1466,1739354862594,-0.61107,0.45733,7.46232,-16.40653,9.08253,-14.44965
Ak,1467,1739354862615,1.01366,-0.70319,11.19512,-0.99179,6.22159,-5.57311
Ak,1468,1739354862629,-1.2332,-3.7014,10.42942,3.31869,4.37914,-5.23742
Ak,1469,1739354862648,-1.2332,-3.7014,10.42942,29.02136,-6.71367,5.1001
Ak,1470,1739354862664,-0.10379,-3.18933,10.31217,20.75516,-7.1409,-4.25708
Ak,1471,1739354862680,-0.33829,-2.60788,8.48644,17.98195,-6.86625,-6.9311
Ak,1472,1739354862702,0.87488,1.62742,13.36302,12.1609,-8.0564,-12.53091
Ak,1473,1739354862716,0.38913,-3.12951,5.78973,6.92729,-10.90971,-17.76071
Ak,1474,1739354862732,0.37717,2.03898,10.64238,-3.79933,-10.28031,-25.51194
Ak,1475,1739354862750,0.37717,2.03898,10.64238,-12.24863,-7.39267,-29.74995
Ak,1476,1739354862765,-0.37896,-0.88026,11.91536,-4.67287,-5.57692,-22.76926
Ak,1477,1739354862783,-0.92692,-6.42922,7.84995,7.06843,-4.40585,-12.80556
Ak,1478,1739354862800,0.14746,0.00508,13.17398,2.36886,-2.09039,-15.71227
Ak,1479,1739354862817,0.31735,-2.2346,8.75205,7.65587,-1.58687,-12.15327
Ak,1480,1739354862830,1.52572,0.19172,7.31157,4.341,-0.32805,-14.68997
Ak,1481,1739354862845,1.52572,0.19172,7.31157,-4.18078,1.33892,-21.5257
Ak,1482,1739354862865,0.12114,1.22542,11.78854,12.87041,-3.70015,-11.92058
Ak,1483,1739354862880,-1.32652,-4.12253,7.06511,12.46606,-3.42168,-12.32874
Ak,1484,1739354862899,0.21446,-2.57916,13.23141,-10.3299,-1.32748,-28.21648
Ak,1485,1739354862916,-1.04895,-1.70578,7.45035,28.57887,0.7591,3.6353
Ak,1486,1739354862935,1.57358,-3.17498,11.3363,20.51865,4.04346,-0.1297
Ak,1487,1739354862958,-0.06311,-1.48804,10.52513,-26.05362,5.99271,-31.77931
Ak,1488,1739354862969,-0.06311,-1.48804,10.52513,-21.87283,14.72048,-21.40745
Ak,1489,1739354862981,-0.72592,2.64437,7.66092,-20.0609,14.16355,-19.45438
Ak,1490,1739354862997,-0.55843,1.4001,8.23998,-14.27418,10.3833,-15.10957
Ak,1491,1739354863016,-0.00808,-4.2015,10.62084,34.44951,1.05664,17.11604
Ak,1492,1739354863033,-1.40309,-3.96939,13.7363,29.58974,1.27789,14.31232
Ak,1493,1739354863046,-1.40309,-3.96939,13.7363,-24.28746,7.78557,-19.39335
Ak,1494,1739354863066,0.62363,0.82582,8.87887,-3.5819,2.79228,-6.84337
Ak,1495,1739354863082,-0.78335,0.35683,7.08664,43.24595,-7.1142,23.56269
Ak,1496,1739354863099,3.23659,-2.90459,8.97458,34.26641,-2.28112,20.30122
Ak,1497,1739354863112,-2.71675,-1.85653,9.367,4.44781,-14.34665,-8.66674
Ak,1498,1739354863128,-0.04636,-0.74387,11.59472,-28.45299,22.83029,-10.15824
Ak,1499,1739354863148,-0.04636,-0.74387,11.59472,-19.80532,15.52917,-10.66177
Ak,1500,1739354863166,-0.57517,-1.59571,6.57697,40.01881,-16.29209,11.18436
